,file,speakerId
0,3081-166546-0011.flac,3081
1,3576-138058-0027.flac,3576
2,3752-4944-0034.flac,3752
3,6295-244435-0036.flac,6295
4,6345-93306-0012.flac,6345
5,5536-43363-0019.flac,5536
6,2078-142845-0032.flac,2078
7,3576-138058-0022.flac,3576
8,6319-275224-0015.flac,6319
9,2428-83705-0032.flac,2428
10,2277-149897-0023.flac,2277
11,1272-141231-0032.flac,1272
12,5338-284437-0019.flac,5338
13,3853-163249-0033.flac,3853
14,3081-166546-0083.flac,3081
15,7850-73752-0014.flac,7850
16,3853-163249-0012.flac,3853
17,3170-137482-0000.flac,3170
18,3081-166546-0067.flac,3081
19,84-121550-0034.flac,84
20,6313-76958-0014.flac,6313
21,3000-15664-0011.flac,3000
22,2902-9006-0015.flac,2902
23,7976-110523-0008.flac,7976
24,1272-141231-0021.flac,1272
25,5694-64038-0004.flac,5694
26,5338-284437-0022.flac,5338
27,2412-153954-0001.flac,2412
28,3576-138058-0037.flac,3576
29,2902-9006-0019.flac,2902
30,2035-152373-0007.flac,2035
31,3752-4944-0043.flac,3752
32,251-137823-0024.flac,251
33,8297-275156-0012.flac,8297
34,6313-76958-0022.flac,6313
35,2902-9006-0017.flac,2902
36,5895-34629-0016.flac,5895
37,6319-275224-0019.flac,6319
38,5694-64038-0021.flac,5694
39,251-137823-0006.flac,251
40,3081-166546-0020.flac,3081
41,3752-4943-0000.flac,3752
42,3000-15664-0038.flac,3000
43,8297-275156-0008.flac,8297
44,5338-284437-0024.flac,5338
45,1988-148538-0014.flac,1988
46,3081-166546-0056.flac,3081
47,6295-64301-0024.flac,6295
48,3752-4944-0042.flac,3752
49,3536-23268-0027.flac,3536
50,2428-83705-0004.flac,2428
51,6319-275224-0013.flac,6319
52,6295-64301-0009.flac,6295
53,2803-161169-0002.flac,2803
54,3853-163249-0032.flac,3853
55,3536-23268-0019.flac,3536
56,2412-153954-0015.flac,2412
57,3536-23268-0018.flac,3536
58,3081-166546-0050.flac,3081
59,3752-4944-0046.flac,3752
60,3081-166546-0043.flac,3081
61,2277-149897-0034.flac,2277
62,3000-15664-0032.flac,3000
63,2428-83699-0022.flac,2428
64,1462-170145-0017.flac,1462
65,5895-34629-0023.flac,5895
